tipo_entidad,fecha_corte,renglon,desc_renglon,saldo_a_la_fecha,riesgo_a_c,riesgo_b_c,riesgo_c_c,riesgo_d_c,riesgo_e_c,venc1_6,venc6_12,venc+12,year_month
ESTABLECIMIENTOS BANCARIOS,2020-07-31,5,PYMES,4555578.341242,16151,1463,1148,1677,724,63575.862652,54441.448087,228235.774333,2020-07-01
ESTABLECIMIENTOS BANCARIOS,2018-04-30,5,L. HAB. VIS UVR TOTAL,4388.471478,180,22,12,24,19,917.332693,357.337495,372.685586,2018-04-01
ESTABLECIMIENTOS BANCARIOS,2022-01-31,5,CONSUMO OTROS TOTAL,7590.3048,1329,61,49,37,54,367.43277,47.551056,0.0,2022-01-01
INSTITUCIONES OFICIALES ESPECIALES,2019-08-31,5,VIS UVR TOTAL,2779051.289489,81901,2714,1637,820,919,155673.809593,28329.313406,36319.852919,2019-08-01
ESTABLECIMIENTOS BANCARIOS,2016-02-29,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,319.209536,32,0,0,0,0,0.0,0.0,0.0,2016-02-01
ESTABLECIMIENTOS BANCARIOS,2018-05-31,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,31294.398466,507,0,1,0,0,0.0,0.0,0.0,2018-05-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2018-10-31,5,LIBRE INVERSIÓN,162139.474121,25401,764,517,1450,987,7517.591026,6445.48077,0.0,2018-10-01
ESTABLECIMIENTOS BANCARIOS,2017-10-31,5,CONSUMO OTROS TOTAL,2653.065486,3490,252,163,176,172,202.160758,16.215766,0.0,2017-10-01
ESTABLECIMIENTOS BANCARIOS,2021-02-28,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,189807.153983,12722,34,15,3,30,0.0,9.514152,0.0,2021-02-01
ESTABLECIMIENTOS BANCARIOS,2019-02-28,5,VIS PESOS TOTAL,1463333.805488,44555,1341,566,187,481,79962.460804,10063.531063,16087.370058,2019-02-01
ESTABLECIMIENTOS BANCARIOS,2020-06-30,5,PYMES,318654.991823,719,187,43,97,87,2042.944021,2977.455376,22073.665963,2020-06-01
ESTABLECIMIENTOS BANCARIOS,2015-06-30,10,LEASING FINANCIERO INMUEBLES DIF HABITA,416015.996753,198,6,1,3,0,13761.972564,1299.571476,1462.248324,2015-06-01
ESTABLECIMIENTOS BANCARIOS,2015-07-31,5,L. HAB. NO VIS PESOS TOTAL,4062416.926987,33345,511,124,58,39,163165.243167,11323.785935,12993.004062,2015-07-01
ESTABLECIMIENTOS BANCARIOS,2023-05-31,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,27077.87947012,8340,299,76,275,136,1843.45686208,198.88854503,0.0,2023-05-01
ESTABLECIMIENTOS BANCARIOS,2021-04-30,5,FINANCIERO E INSTITUCIONAL,828084.2993,11,2,0,0,0,0.0,0.0,0.0,2021-04-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2018-07-31,5,OFICIAL O GOBIERNO,28.571428,0,1,0,0,0,28.571428,0.0,0.0,2018-07-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2023-02-28,5,PYMES,7307.547005,49,3,0,2,4,42.460644,0.0,915.906767,2023-02-01
ESTABLECIMIENTOS BANCARIOS,2020-12-31,5,CRÉDITO ROTATIVO TOTAL,330289.098554,26078,3564,1971,594,2789,14198.829531,12340.716523,0.0,2020-12-01
COMPAÑIAS DE FINANCIAMIENTO,2020-10-31,5,MICRO MENOR TOTAL,264112.307552,0,0,0,0,0,13457.662355,0.0,0.0,2020-10-01
ESTABLECIMIENTOS BANCARIOS,2021-09-30,5,MICROEMPRESA,144663.743318,2220,267,105,328,104,9193.300187,6583.732503,2820.788707,2021-09-01
ESTABLECIMIENTOS BANCARIOS,2021-02-28,5,LEASING FINANCIERO TOTAL,3212273.044388,4792,636,263,314,429,98819.65862,28407.713637,96927.023915,2021-02-01
ESTABLECIMIENTOS BANCARIOS,2016-11-30,5,EMPRESARIAL,341.277541,5,0,0,0,0,0.0,0.0,0.0,2016-11-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2021-06-30,5,MICROEMPRESA,3491.816608,77,8,1,4,0,88.220747,13.865735,4.055307,2021-06-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2021-05-31,5,LIBRE INVERSIÓN,140813.35505,14354,306,221,279,756,3229.928853,5156.916386,0.0,2021-05-01
COMPAÑIAS DE FINANCIAMIENTO,2021-11-30,5,VIS PESOS TOTAL,32379.579635,0,0,0,0,0,1421.898637,216.410136,242.14211,2021-11-01
ESTABLECIMIENTOS BANCARIOS,2015-05-31,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,90771.900093,1223,8,7,7,10,524.574927,2.627169,0.0,2015-05-01
COMPAÑIAS DE FINANCIAMIENTO,2015-11-30,5,PYMES,59652.086193,178,21,18,19,6,3027.254784,2352.943322,1596.717269,2015-11-01
COMPAÑIAS DE FINANCIAMIENTO,2017-09-30,5,TARJETA DE CRÉDITO TOTAL,2432358.777145,0,0,0,0,0,261578.162615,15007.876769,0.0,2017-09-01
ESTABLECIMIENTOS BANCARIOS,2021-12-31,5,CORPORATIVO,11463897.422912,1217,48,22,22,25,119024.765807,41927.136604,84314.009338,2021-12-01
ESTABLECIMIENTOS BANCARIOS,2023-07-31,5,MICRO MENOR TOTAL,1.50794977,0,0,0,0,1,1.50794977,0.0,0.0,2023-07-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2023-07-31,5,CRÉDITO EMPLEADOS VIVIENDA VIS,1894.638956,61,0,0,0,0,0.0,0.0,0.0,2023-07-01
ESTABLECIMIENTOS BANCARIOS,2022-09-30,5,TARJETA DE CRÉDITO TOTAL,7551474.368892481,1479221,46006,24637,27675,56017,265796.10604189,65276.42098304,0.0,2022-09-01
COMPAÑIAS DE FINANCIAMIENTO,2022-09-30,5,FACTORING,51367.84622649,23,1,0,2,0,0.0,0.0,506.56296642,2022-09-01
ESTABLECIMIENTOS BANCARIOS,2016-06-30,10,LEASING FINANCIERO INMUEBLES DIF HABITA,485016.518733,273,6,1,3,0,9707.329428,609.968677,553.704847,2016-06-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2016-12-31,5,MICROEMPRESA,23519.115679,230,68,18,60,9,672.719956,156.074154,415.747784,2016-12-01
ESTABLECIMIENTOS BANCARIOS,2023-07-31,5,PYMES,1261607.859912,1036,84,53,75,127,39165.355003,15986.679768,121615.275685,2023-07-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2015-12-31,5,PYMES,3575.955977,23,3,0,1,0,540.666667,362.694511,0.0,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2016-06-30,5,CRÉDITO EMPLEADOS VIVIENDA VIS,47.6892,2,0,0,0,0,0.0,0.0,0.0,2016-06-01
ESTABLECIMIENTOS BANCARIOS,2018-09-30,5,CONSUMO OTROS TOTAL,864849.023454,77608,3278,2521,2674,4110,45134.661493,20304.759216,0.0,2018-09-01
ESTABLECIMIENTOS BANCARIOS,2016-05-31,5,CONSUMO OTROS TOTAL,62074.342885,173735,6231,3073,2362,1632,48.470051,39.659945,0.0,2016-05-01
ESTABLECIMIENTOS BANCARIOS,2023-06-30,5,MICROEMPRESA,800906.08536089,25656,888,374,783,1045,32927.601087510004,18170.34746788,19771.486716720003,2023-06-01
ESTABLECIMIENTOS BANCARIOS,2015-07-31,15,TARJETA DE CRÉDITO INGRESO SUP 2 SMMLV,2495639.137533,691436,16041,8548,21071,12228,94877.652793,40555.3552,0.0,2015-07-01
ESTABLECIMIENTOS BANCARIOS,2021-10-31,10,LIBRANZA EDUCATIVO,1035.091991,100,2,0,0,0,1.461639,0.0,0.0,2021-10-01
ESTABLECIMIENTOS BANCARIOS,2015-05-31,5,LEASING FINANCIERO TOTAL,62307.660058,642,64,15,21,0,2286.061912,249.452946,0.0,2015-05-01
ESTABLECIMIENTOS BANCARIOS,2023-07-31,5,MICROEMPRESA,4428.11700553,52,26,14,28,0,368.742696,7.784804,0.0,2023-07-01
ESTABLECIMIENTOS BANCARIOS,2021-09-30,5,MICROEMPRESA,127763.967362,3074,110,65,244,8,4905.864152,2616.827904,987.716221,2021-09-01
ESTABLECIMIENTOS BANCARIOS,2022-12-31,15,LEASING FINANCIERO VEHÍCULOS,229.16667866,1,0,0,0,0,0.0,0.0,0.0,2022-12-01
ESTABLECIMIENTOS BANCARIOS,2019-06-30,10,LEASING FINANCIERO INMUEBLES DIF HABITA,1501569.676675,772,80,10,80,11,33882.127889,14028.666996,30479.04254,2019-06-01
ESTABLECIMIENTOS BANCARIOS,2022-08-31,5,TARJETA DE CRÉDITO TOTAL,2898820.75906576,1155551,51784,18734,29465,18632,165698.21157426,21834.36138727,0.0,2022-08-01
ESTABLECIMIENTOS BANCARIOS,2018-08-31,5,MICRO MENOR TOTAL,5533.98047,948,12,7,4,116,485.615107,0.0,0.0,2018-08-01
ESTABLECIMIENTOS BANCARIOS,2021-09-30,5,VIS UVR TOTAL,1498.207869,143,13,3,12,46,63.035972,10.68994,261.825319,2021-09-01
COMPAÑIAS DE FINANCIAMIENTO,2015-09-30,5,MICROEMPRESA,12491.775116,74,12,5,14,11,179.827862,59.542304,1766.235916,2015-09-01
ESTABLECIMIENTOS BANCARIOS,2016-01-31,5,LIBRANZA TOTAL,292149.326393,15713,169,445,232,275,4197.000372,1216.139302,0.0,2016-01-01
ESTABLECIMIENTOS BANCARIOS,2023-04-30,5,OFICIAL O GOBIERNO,1.70369346,1,0,0,0,0,0.0,0.0,0.0,2023-04-01
ESTABLECIMIENTOS BANCARIOS,2023-05-31,5,LIBRANZA VIVIENDA NO VIS TOTAL,638.45846,10,1,0,0,0,84.747481,0.0,0.0,2023-05-01
COMPAÑIAS DE FINANCIAMIENTO,2015-12-31,5,FACTORING,3563.816128,37,1,1,0,0,42.078617,0.0,0.0,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2017-04-30,5,PYMES,36722.914953,127,17,9,0,0,375.134652,0.0,0.0,2017-04-01
ESTABLECIMIENTOS BANCARIOS,2015-04-30,5,MICRO MENOR TOTAL,33.375216,1,0,0,0,0,0.0,0.0,0.0,2015-04-01
COMPAÑIAS DE FINANCIAMIENTO,2018-06-30,5,VEHÍCULO,1248965.956862,0,0,0,0,0,88276.503194,1413.150283,0.0,2018-06-01
COMPAÑIAS DE FINANCIAMIENTO,2020-09-30,10,LEASING FINANCIERO INMUEBLES DIF HABITA,31577.340574,15,0,1,0,0,0.0,0.0,0.0,2020-09-01
ESTABLECIMIENTOS BANCARIOS,2019-05-31,5,MICROEMPRESA,7656.322298,192,73,15,35,4,455.596184,546.915562,331.477506,2019-05-01
ESTABLECIMIENTOS BANCARIOS,2021-03-31,5,MICROEMPRESA,7810.082777,190,103,20,15,20,382.562224,28.284682,852.148796,2021-03-01
ESTABLECIMIENTOS BANCARIOS,2022-03-31,5,MICRO MAYOR TOTAL,240107.050442,8388,167,85,103,675,10443.01675,0.0,0.0,2022-03-01
ESTABLECIMIENTOS BANCARIOS,2018-01-31,5,FINANCIERO E INSTITUCIONAL,11327.583245,1,1,1,0,0,0.0,0.0,0.0,2018-01-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2020-04-30,5,CONSUMO OTROS TOTAL,6.216543,3,0,0,1,2,1.370153,1.194299,0.0,2020-04-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2017-04-30,5,MICRO MAYOR TOTAL,3782.625828,198,6,3,1,22,288.620045,0.0,0.0,2017-04-01
ESTABLECIMIENTOS BANCARIOS,2018-07-31,5,VEHÍCULO,1743920.089126,60429,1632,2843,4001,1081,113523.516505,47783.315693,0.0,2018-07-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2023-05-31,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,196.601157,85,0,0,0,0,0.0,0.0,0.0,2023-05-01
ESTABLECIMIENTOS BANCARIOS,2020-04-30,15,LIBRANZA OTROS,2304582.961071,102231,454,610,1465,829,45113.887114,4042.781556,0.0,2020-04-01
ESTABLECIMIENTOS BANCARIOS,2017-06-30,15,LIBRANZA OTROS,6886074.441477,245084,1377,1160,2276,1580,87056.766475,45606.346422,0.0,2017-06-01
ESTABLECIMIENTOS BANCARIOS,2017-03-31,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,257313.655134,3846,7,13,3,3,781.123744,284.946715,173.976889,2017-03-01
ESTABLECIMIENTOS BANCARIOS,2021-08-31,5,MICRO MENOR TOTAL,1233884.146673,269763,14315,6570,6304,10095,71928.784166,0.0,0.0,2021-08-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,CORPORATIVO,3875.957795,16,3,0,1,0,2e-06,1e-06,0.0,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2021-04-30,5,VIS PESOS TOTAL,1363928.375378,29463,622,326,66,131,51167.075502,9149.745598,7818.927007,2021-04-01
ESTABLECIMIENTOS BANCARIOS,2019-09-30,5,CRÉDITO ROTATIVO TOTAL,903462.953338,137669,5527,3406,6508,1042,49642.467936,1107.446753,0.0,2019-09-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,MICRO MAYOR TOTAL,1901.010175,127,13,6,4,2,237.573085,0.0,0.0,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2019-02-28,5,VIS PESOS TOTAL,511034.014881,12986,112,88,26,18,10736.234159,2482.121105,1563.538832,2019-02-01
ESTABLECIMIENTOS BANCARIOS,2016-11-30,5,LIBRANZA TOTAL,100323.02317,3199,31,30,20,0,1887.887126,91.349191,0.0,2016-11-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2015-06-30,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,474.631619,12,0,0,0,0,0.0,0.0,0.0,2015-06-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2018-05-31,5,CRÉDITO ROTATIVO TOTAL,10971.668676,2309,56,40,17,110,269.148381,342.250209,0.0,2018-05-01
ESTABLECIMIENTOS BANCARIOS,2019-09-30,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,58267.596598,1857,25,13,20,40,529.056107,533.711609,0.0,2019-09-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,LIBRANZA TOTAL,1121266.76571,77565,2082,981,1561,432,28055.168523,3303.251079,0.0,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2019-01-31,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,7273.241154,273,0,0,0,0,0.0,0.0,0.0,2019-01-01
COMPAÑIAS DE FINANCIAMIENTO,2021-05-31,5,MICROEMPRESA,282431.577883,3507,317,127,69,0,25620.707332,20.529391,0.0,2021-05-01
ESTABLECIMIENTOS BANCARIOS,2016-11-30,5,MICRO MAYOR TOTAL,5040.711709,258,16,12,10,35,743.032404,0.0,0.0,2016-11-01
ESTABLECIMIENTOS BANCARIOS,2018-10-31,5,MICRO MENOR TOTAL,660358.345604,165208,21679,3474,2844,9681,30276.105071,0.0,0.0,2018-10-01
ESTABLECIMIENTOS BANCARIOS,2018-12-31,5,MICRO MAYOR TOTAL,160261.983487,7648,241,156,180,1171,21880.050527,0.0,0.0,2018-12-01
ESTABLECIMIENTOS BANCARIOS,2019-05-31,5,CONSUMO OTROS TOTAL,2181.111861,4684,368,169,176,587,195.894421,20.344448,0.0,2019-05-01
ESTABLECIMIENTOS BANCARIOS,2015-02-28,5,LIBRE INVERSIÓN,405619.947939,47211,973,699,1009,779,14633.622328,1750.794729,0.0,2015-02-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2020-01-31,5,CRÉDITO EMPLEADOS VIVIENDA VIS,2470.222264,73,0,0,0,0,0.0,0.0,0.0,2020-01-01
COMPAÑIAS DE FINANCIAMIENTO,2022-03-31,5,VEHÍCULO,2355774.415619,0,0,0,0,0,115453.989165,50265.667223,0.0,2022-03-01
ESTABLECIMIENTOS BANCARIOS,2019-12-31,5,CONSUMO OTROS TOTAL,502196.318151,29166,2317,2832,8533,3543,76489.973485,28122.635799,0.0,2019-12-01
ESTABLECIMIENTOS BANCARIOS,2015-11-30,5,CONSUMO OTROS TOTAL,59357.791421,182242,6403,3233,2408,1718,14.487612,0.167783,0.0,2015-11-01
ESTABLECIMIENTOS BANCARIOS,2022-11-30,20,LEASING FINANCIERO MAQUINARIA Y EQUIPOS,3394175.98298002,3248,131,52,178,253,27806.37471,15918.669874,65779.316401,2022-11-01
ESTABLECIMIENTOS BANCARIOS,2018-06-30,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,11.852068,0,1,0,1,1,0.0,0.0,2.722868,2018-06-01
COMPAÑIAS DE FINANCIAMIENTO,2016-07-31,10,LEASING FINANCIERO INMUEBLES DIF HABITA,47008.69312,38,21,1,7,0,3723.617441,258.514235,367.397706,2016-07-01
ESTABLECIMIENTOS BANCARIOS,2019-10-31,5,CRÉDITO ROTATIVO TOTAL,1381355.099478,139583,3456,2873,3319,2719,81082.815837,3079.375998,0.0,2019-10-01
ESTABLECIMIENTOS BANCARIOS,2018-11-30,5,L. HAB. NO VIS UVR TOTAL,34235.461658,317,13,8,3,19,3660.703968,1641.027976,1423.919097,2018-11-01
COMPAÑIAS DE FINANCIAMIENTO,2015-02-28,5,MICRO MENOR TOTAL,402486.953687,70774,2189,1595,1320,9360,32943.762817,0.0,0.0,2015-02-01
ESTABLECIMIENTOS BANCARIOS,2018-02-28,5,LIBRANZA TOTAL,3745761.193313,170060,460,1299,1950,166,39553.055668,28213.629729,0.0,2018-02-01
ESTABLECIMIENTOS BANCARIOS,2018-06-30,5,EMPRESARIAL,276.345098,4,0,0,0,1,40.616109,0.0,0.0,2018-06-01
ESTABLECIMIENTOS BANCARIOS,2015-01-31,5,NO VIS UVR TOTAL,236116.732687,4001,176,83,20,0,19811.873376,2152.346513,325.401451,2015-01-01
ESTABLECIMIENTOS BANCARIOS,2022-03-31,5,MICROEMPRESA,40974.226833,318,30,10,11,17,1066.437405,1.556371,544.835644,2022-03-01
ESTABLECIMIENTOS BANCARIOS,2021-07-31,5,MICROEMPRESA,126198.387019,1089,87,46,140,30,4864.457344,942.00962,3978.587884,2021-07-01
COMPAÑIAS DE FINANCIAMIENTO,2023-01-31,5,VEHÍCULO,159.868926,0,0,0,0,0,0.0,0.0,0.0,2023-01-01
ESTABLECIMIENTOS BANCARIOS,2016-08-31,5,LIBRANZA TOTAL,41434.428452,2952,17,10,15,7,231.307087,32.841226,0.0,2016-08-01
ESTABLECIMIENTOS BANCARIOS,2018-04-30,5,FACTORING,310110.009676,422,15,7,1,13,1972.055179,452.484503,1320.09709,2018-04-01
ESTABLECIMIENTOS BANCARIOS,2016-07-31,5,FACTORING,4796.840237,12,0,0,0,0,0.0,0.0,0.0,2016-07-01
COMPAÑIAS DE FINANCIAMIENTO,2019-01-31,5,LIBRE INVERSIÓN,1617.409132,0,0,0,0,0,22.292355,18.066709,0.0,2019-01-01
ESTABLECIMIENTOS BANCARIOS,2023-03-31,5,TARJETA DE CRÉDITO TOTAL,901828.02167036,132149,3505,1759,3043,1161,56097.38684193,4663.47969348,0.0,2023-03-01
COMPAÑIAS DE FINANCIAMIENTO,2022-04-30,5,VEHÍCULO,2396620.961542,0,0,0,0,0,105765.140957,54187.025227,0.0,2022-04-01
ESTABLECIMIENTOS BANCARIOS,2022-03-31,5,CONSUMO OTROS TOTAL,805.291477,907,25,15,164,146,14.700822,67.317321,0.0,2022-03-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2019-01-31,5,LIBRANZA VIVIENDA NO VIS TOTAL,33.343671,2,0,0,0,0,0.0,0.0,0.0,2019-01-01
ESTABLECIMIENTOS BANCARIOS,2015-03-31,5,LIBRANZA TOTAL,1104632.758681,59925,871,551,682,368,14712.132468,589.702524,0.0,2015-03-01
COMPAÑIAS DE FINANCIAMIENTO,2017-04-30,5,MICROEMPRESA,5242.775194,28,4,0,4,1,262.870092,28.888881,0.0,2017-04-01
COMPAÑIAS DE FINANCIAMIENTO,2016-06-30,5,CORPORATIVO,682.435264,14,0,0,0,0,0.0,0.0,0.0,2016-06-01
ESTABLECIMIENTOS BANCARIOS,2018-03-31,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,395.911475,41,0,0,0,0,0.0,0.0,0.0,2018-03-01
ESTABLECIMIENTOS BANCARIOS,2019-10-31,5,NO VIS PESOS TOTAL,1294026.329837,6918,124,86,38,199,48763.110845,15498.53256,30187.054363,2019-10-01
ESTABLECIMIENTOS BANCARIOS,2021-04-30,5,MICROEMPRESA,212299.344458,958,253,223,188,47,16391.126682,7350.252161,6224.927028,2021-04-01
ESTABLECIMIENTOS BANCARIOS,2020-06-30,5,LIBRANZA TOTAL,14606.682685,1701,77,22,44,50,581.684536,336.407637,0.0,2020-06-01
COMPAÑIAS DE FINANCIAMIENTO,2016-04-30,5,LIBRANZA TOTAL,519615.609565,0,0,0,0,0,5075.22586,3856.225772,0.0,2016-04-01
ESTABLECIMIENTOS BANCARIOS,2020-08-31,25,LEASING FINANCIERO OTROS,1860.175271,5,0,0,0,0,0.0,0.0,0.0,2020-08-01
ESTABLECIMIENTOS BANCARIOS,2022-08-31,5,EMPRESARIAL,4400.885162979999,55,5,0,2,0,37.41953196,0.207527,0.0,2022-08-01
ESTABLECIMIENTOS BANCARIOS,2023-06-30,5,MICROEMPRESA,267635.8497221,749,216,92,51,45,7163.73639216,1679.77963448,52766.43538279,2023-06-01
ESTABLECIMIENTOS BANCARIOS,2017-05-31,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,2010.242126,115,6,130,3,1,3.44605,0.0,49.997671,2017-05-01
ESTABLECIMIENTOS BANCARIOS,2018-12-31,20,OTROS CONSTRUCCIÓN,530684.457641,233,14,1,18,0,4877.140027,76933.590016,7087.137638,2018-12-01
ESTABLECIMIENTOS BANCARIOS,2020-12-31,5,LIBRE INVERSIÓN,1425216.944489,24825,1543,1312,972,924,65800.540119,9972.96445,0.0,2020-12-01
ESTABLECIMIENTOS BANCARIOS,2015-01-31,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,39514.059544,21,0,0,0,0,0.0,0.0,0.0,2015-01-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2016-11-30,5,CONSTRUCCIÓN TOTAL,45856.956152,17,1,1,1,0,0.0,0.0,0.0,2016-11-01
ESTABLECIMIENTOS BANCARIOS,2015-09-30,5,LIBRANZA TOTAL,5527791.353993,228973,1505,1051,1735,526,61818.486225,17680.466319,0.0,2015-09-01
ESTABLECIMIENTOS BANCARIOS,2019-11-30,5,TARJETA DE CRÉDITO TOTAL,1317115.762836,343889,9920,4745,5204,4231,53863.128215,5529.283656,0.0,2019-11-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2018-01-31,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,1110.878123,19,0,0,0,0,0.0,0.0,0.0,2018-01-01
ESTABLECIMIENTOS BANCARIOS,2015-09-30,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,6490.440651,9483,243,119,146,72,261.223483,24.568065,0.0,2015-09-01
ESTABLECIMIENTOS BANCARIOS,2017-07-31,5,EMPRESARIAL,227453.108271,785,19,0,12,52,2948.718642,428.231249,8752.861123,2017-07-01
INSTITUCIONES OFICIALES ESPECIALES,2019-10-31,5,L. HAB. NO VIS PESOS TOTAL,33739.506417,167,1,0,0,0,348.331518,0.0,0.0,2019-10-01
COMPAÑIAS DE FINANCIAMIENTO,2017-04-30,5,LIBRE INVERSIÓN,3140.074558,0,0,0,0,0,173.36412,21.232025,0.0,2017-04-01
COMPAÑIAS DE FINANCIAMIENTO,2018-06-30,5,FINANCIERO E INSTITUCIONAL,4444.845656,1,0,0,0,0,0.0,0.0,0.0,2018-06-01
ESTABLECIMIENTOS BANCARIOS,2020-12-31,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,869441.599778,462166,14414,12202,20003,6356,67752.040833,903.075702,0.0,2020-12-01
ESTABLECIMIENTOS BANCARIOS,2023-01-31,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,5725.17403424,191,1,1,1,0,9.52561382,34.69041863,0.0,2023-01-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2021-06-30,15,TARJETA DE CRÉDITO INGRESO SUP 2 SMMLV,16350.702517,6659,173,138,218,192,1244.655504,149.241089,0.0,2021-06-01
ESTABLECIMIENTOS BANCARIOS,2018-07-31,5,MICRO MENOR TOTAL,1117391.547674,397765,12855,7539,7284,31475,47156.462066,0.0,0.0,2018-07-01
